FARMACOS;DETENTOR;MEDICAMENTO;CONCENTRACAO;FORMA_FARMACEUTICA
Cetotifeno (fumarato);Novartis Biociências;ZADITEN;0,345mg/mL;solç oft 
Cetotifeno (fumarato);Novartis Biociências;ZADITEN;1mg;comp
Cetotifeno (fumarato);Novartis Biociências;ZADITEN;1mg/mL;solç or
Cetotifeno (fumarato);Novartis Biociências;ZADITEN;2mg;comp DE lib lenta
Cetotifeno (fumarato);Novartis Biociências;ZADITEN;0,25mg/mL;solç oft
Ciclobenzaprina (cloridrato);Apsen;MIOSAN;10mg;comp rev
Ciclobenzaprina (cloridrato);Apsen;MIOSAN;5,0mg;comp rev
Ciclofosfamida;Asta Médica Oncológica;gENUXAL;1g;po liof inj
Ciclofosfamida;Asta Médica Oncológica;gENUXAL;200mg;po liof inj
Ciclofosfamida;Asta Médica Oncológica;gENUXAL;50mg;drag rev entérico
Ciclopentolato (cloridrato);Allergan;CICLOPLEgICO;10mg/mL;solç oft
Ciclopirox;Sanofi-Aventis;LOPROX NL;80mg/g;esml
Ciclopirox olamina;Sanofi-Aventis;gINO-LOPROX;10mg/g;crem vaginal
Ciclopirox olamina;Sanofi-Aventis;LOPROX;10mg/g;crem derm
Ciclopirox olamina;Sanofi-Aventis;LOPROX;10mg/mL;solç top
Ciclosporina;Allergan;RESTASIS;0,5mg/g;emul oft
Ciclosporina;Novartis Biociências;SANDimMUN;50mg/mL;solç inj
Ciclosporina;Novartis Biociências;SANDimMUN NEORAL;100mg;caps gelat mole
Ciclosporina;Novartis Biociências;SANDimMUN NEORAL;100mg/mL;solç or
Ciclosporina;Novartis Biociências;SANDimMUN NEORAL;25mg;caps gelat mole
Ciclosporina;Novartis Biociências;SANDimMUN NEORAL;50mg;caps gelat mole
Cilazapril;Roche;VASCASE;1mg;comp rev
Cilazapril;Roche;VASCASE;2,5mg;comp rev
Cilazapril;Roche;VASCASE;5,0mg;comp rev
Cilostazol;Libbs;CEBRALAT;100mg;comp
Cilostazol;Libbs;CEBRALAT;50mg;comp
Cimetidina;Teuto;CimETIDINA;150mg/mL;solç inj
Cimetidina;glaxosmithkline;TAgAMET;200mg;comp rev
Cimetidina;glaxosmithkline;TAgAMET;400mg;comp rev
Cinarizina;Janssen Cilag;STUgERON;25mg;comp
Cinarizina;Janssen Cilag;STUgERON;75mg;comp
Ciprofibrato;Sanofi-Aventis;OROXADIN;100mg;comp
Ciprofloxacino;Bayer;CIPRO SOLUÇÃO PARA INFUSÃO;2,0mg/mL;solç inj
Ciprofloxacino (cloridrato);Alcon;CILOXAN;3mg/mL;solç otol
